taxon	cluster
Aromatoleum	0
Azospirillum	0
Carjivirus	0
Cetobacterium	0
Enterococcus	0
Escherichia	0
Fusobacterium	0
Lactococcus	0
Phocaeicola	0
Ralstonia	0
Rhizobium	0
Rhodococcus	0
Septimatrevirus	0
Sphingomonas	0
Variovorax	0
Vequintavirus	0
Chryseobacterium	1
Enterobacter	1
Microbacterium	1
Salmonella	1
Acidovorax	2
Bacteroides	2
Comamonas	2
Faucicola	2
Thiothrix	2
Citrobacter	3
Xanthomonas	3
Acinetobacter	4
Pseudomonas	4
Segatella	4
Aeromonas	5
Aliarcobacter	5
Cupriavidus	5
Klebsiella	5
Streptococcus	5
Delftia	6
Flavobacterium	6
Paracoccus	6
Sphingopyxis	6
