cluster	category	count	fraction
0	bacteria	18	0.4090909090909091
0	other	26	0.5909090909090909
1	bacteria	1	0.07142857142857142
1	other	13	0.9285714285714286
2	bacteria	1	0.25
2	other	3	0.75
3	bacteria	9	0.375
3	other	14	0.5833333333333334
3	virus	1	0.041666666666666664
4	bacteria	23	0.30666666666666664
4	other	52	0.6933333333333334
5	bacteria	13	0.52
5	other	11	0.44
5	virus	1	0.04
6	bacteria	2	0.25
6	other	6	0.75
7	bacteria	1	0.5
7	other	1	0.5
8	bacteria	3	0.23076923076923078
8	other	9	0.6923076923076923
8	virus	1	0.07692307692307693
9	bacteria	3	0.375
9	other	5	0.625
