taxon	cluster
Acidovorax carolinensis	0
Acidovorax sp. DW039	0
Acidovorax sp. T1	0
Acidovorax temperans	0
Acinetobacter baumannii	0
Acinetobacter johnsonii	0
Acinetobacter sp. NEB 394	0
Acinetobacter sp. WCHAc010034	0
Aeromonas hydrophila	0
Aeromonas media	0
Aeromonas sp. INTO2	0
Aeromonas veronii	0
Aliarcobacter butzleri	0
Aliarcobacter cryaerophilus	0
Aliarcobacter faecis	0
Alicycliphilus denitrificans	0
Bacteroides fragilis	0
Bifidobacterium longum	0
Chromobacterium amazonense	0
Citrobacter freundii	0
Comamonas sp. C11	0
Comamonas testosteroni	0
Cupriavidus metallidurans	0
Dechloromonas sp. ARDL1	0
Delftia acidovorans	0
Diaphorobacter sp. HDW4A	0
Diaphorobacter sp. MNS-0	0
Enterobacter cloacae	0
Enterobacter hormaechei	0
Enterobacter kobei	0
Enterobacter roggenkampii	0
Escherichia coli	0
Faucicola osloensis	0
Homo sapiens	0
Klebsiella pneumoniae	0
Neisseria gonorrhoeae	0
Pseudolactococcus raffinolactis	0
Pseudomonas aeruginosa	0
Pseudomonas bubulae	0
Pseudomonas fluorescens	0
Pusillibacter faecalis	0
Segatella copri	0
Serratia marcescens	0
Vescimonas fastidiosa	0
Achromobacter sp.	1
Actinomyces oris	1
Aeromonas allosaccharophila	1
Aeromonas jandaei	1
Clostridioides difficile	1
Klebsiella quasipneumoniae	1
Klebsiella variicola	1
Kluyvera intermedia	1
Moellerella wisconsensis	1
Pseudomonas nitroreducens	1
Salmonella enterica	1
Stenotrophomonas maltophilia	1
Streptococcus thermophilus	1
Thauera sp. K11	1
Comamonas odontotermitis	2
Flavobacterium limnophilum	2
Mitsuaria sp. 7	2
Variovorax paradoxus	2
Agathobacter rectalis	3
Bacteroides thetaiotaomicron	3
Bacteroides uniformis	3
Bacteroides zhangwenhongii	3
Betacoronavirus pandemicum	3
Bilophila wadsworthia	3
Burkholderia vietnamiensis	3
Chitinibacter bivalviorum	3
Citrobacter braakii	3
Citrobacter sp. C1	3
Citrobacter sp. RHBSTW-00325	3
Comamonas sp. 7D-2	3
Enterococcus faecalis	3
Enterococcus faecium	3
Faucicola atlantae	3
Halomontanus rarus	3
Mitsuokella multacida	3
Parabacteroides distasonis	3
Pseudomonas sp. A2	3
Rhizobium rosettiformans	3
Segatella hominis	3
Shewanella xiamenensis	3
Sphingobium sp. WTD-1	3
Tabrizicola piscis	3
Acidithiobacillus caldus	4
Acidovorax sp. A79	4
Acinetobacter bereziniae	4
Acinetobacter cumulans	4
Acinetobacter defluvii	4
Acinetobacter gandensis	4
Acinetobacter indicus	4
Acinetobacter piscicola	4
Acinetobacter schindleri	4
Acinetobacter soli	4
Acinetobacter sp. ACNIH2	4
Acinetobacter sp. TR11	4
Acinetobacter sp. WCHA55	4
Acinetobacter variabilis	4
Aeromonas dhakensis	4
Aeromonas sp.	4
Aeromonas sp. 19NY04SH05-1	4
Aeromonas sp. ASNIH4	4
Aeromonas sp. FDAARGOS 1402	4
Aeromonas sp. WP2-W18-CRE-05	4
Agrobacterium pusense	4
Amniculibacterium sp. G2-70	4
Aquabacterium sp. OR-4	4
Azoarcus sp. KH32C	4
Azonexus hydrophilus	4
Bacteroides faecis	4
Bacteroides ovatus	4
Campylobacter jejuni	4
Chryseobacterium oryzae	4
