	Acetobacter	Achromobacter	Acidithiobacillus	Acidovorax	Acinetobacter	Actinomyces	Acuticoccus	Aeromonas	Afonbuvirus	Agathobacter	Agrobacterium	Agtrevirus	Alcaligenes	Aliarcobacter	Alicycliphilus	Alkanindiges	Alteromonas	Aminobacter	Amniculibacterium	Amphritea	Ampullimonas	Aquabacterium	Aquipseudomonas	Arcobacter	Aromatoleum	Asticcacaulis	Astrithrvirus	Aureimonas	Azoarcus	Azohydromonas	Azonexus	Azospira	Azospirillum	Azotobacter	Bacillus	Bacteroides	Betacoronavirus	Bielevirus	Bifidobacterium	Bilophila	Blastomonas	Blautia	Bradyrhizobium	Brevirhabdus	Brevundimonas	Brigitvirus	Brussowvirus	Bugaksanvirus	Burkholderia	Burzaovirus	Butyricimonas	Caballeronia	Campylobacter	Candidatus Accumulibacter	Carjivirus	Carnobacterium	Caulobacter	Cellvibrio	Cetobacterium	Chelativorans	Chimaeribacter	Chitinibacter	Chromobacterium	Chryseobacterium	Cimandefvirus	Cinvestavvirus	Citrobacter	Clostridioides	Clostridium	Comamonas	Corynebacterium	Cronobacter	Cronusvirus	Cupriavidus	Curvibacter	Cutibacterium	Dechloromonas	Deinococcus	Delftia	Denitratisoma	Derbicusvirus	Diaphorobacter	Dunedinvirus	Ectopseudomonas	Edwardsiella	Eleftheria	Elizabethkingia	Empedobacter	Ensifer	Enterobacter	Enterococcus	Eponavirus	Escherichia	Faucicola	Ferozepurvirus	Flavobacterium	Fulvitalea	Fusobacterium	Gamaleyavirus	Gemmobacter	Glaesserella	Gustavvirus	Haematospirillum	Haladaptatus	Halobaculum	Halomarina	Halomicrobium	Halomonas	Halomontanus	Halovivax	Homo	Hydrogenophaga	Hymenobacter	Ideonella	Ilyobacter	Junduvirus	Kahnovirus	Kilunavirus	Kingevirus	Klebsiella	Kluyvera	Krampusvirus	Lachnospira	Lactiplantibacillus	Lactobacillus	Lactococcus	Lagaffevirus	Leclercia	Legionella	Leisingera	Lelliottia	Leuconostoc	Ligilactobacillus	Limosilactobacillus	Listeria	Lughvirus	Lysinibacillus	Machinavirus	Massilia	Mediterraneibacter	Mesorhizobium	Metallibacterium	Methanobrevibacter	Methanolobus	Methanosarcina	Methanothrix	Methylibium	Methylobacterium	Methylococcus	Methylomonas	Methylorubrum	Microbacterium	Micrococcus	Mitsuokella	Moellerella	Monoglobus	Mooglevirus	Morganella	Moturavirus	Muribaculum	Mushuvirus	Neisseria	Neptuniibacter	Nitratidesulfovibrio	Nitratireductor	Niveibacterium	Niveispirillum	Nocardia	Nocardioides	Nonomuraea	Novemvirus	Novosphingobium	Oengusvirus	Ornithinimicrobium	Ottowia	Paenibacillus	Pandoraea	Pantoea	Parabacteroides	Paraburkholderia	Paracoccus	Paragemmobacter	Pasteurella	Pectobacterium	Pelobacter	Peptoclostridium	Peribacillus	Persicobacter	Peteryoungia	Pettyvirus	Phaeobacter	Phocaeicola	Phytobacter	Piscesmortuivirus	Piscinibacter	Polaromonas	Popoffvirus	Porphyromonas	Prevotella	Priestia	Proteus	Providencia	Przondovirus	Pseudidiomarina	Pseudolactococcus	Pseudomonas	Psychrobacter	Pusillibacter	Qipengyuania	Rahnella	Ralstonia	Raoultella	Reipivirus	Rhizobium	Rhodococcoides	Rhodococcus	Rhodoferax	Rhodopseudomonas	Rhodovastum	Riemerella	Robbsia	Roseateles	Roseomonas	Rubrivivax	Salinivibrio	Salipiger	Salmonella	Salvovirus	Sebaldella	Segatella	Senquatrovirus	Septimatrevirus	Serratia	Sharonstreetvirus	Shenzhenvirus	Shewanella	Shinella	Sinorhizobium	Sorangium	Sphaerotilus	Sphingobium	Sphingomonas	Sphingopyxis	Staphylococcus	Stenotrophomonas	Sterolibacterium	Streptococcus	Streptomyces	Stutzerimonas	Sukhumvitvirus	Sulfitobacter	Sulfuricystis	Sulfuriferula	Sulfurospirillum	Sulfurovum	Tabrizicola	Taranisvirus	Teetrevirus	Tequatrovirus	Thauera	Thioclava	Thiomonas	Thiothrix	Tistrella	Toutatisvirus	Treponema	Tritonibacter	Tsukamurella	Vagococcus	Variovorax	Vequintavirus	Verminephrobacter	Vescimonas	Vibrio	Vimunumvirus	Vitreoscilla	Webervirus	Weissella	Xanthomonas	Xooduovirus	Xylella	Yersinia	Yuavirus
cleaned_SRR35556007_1	0	0	0	11	439	0	0	3707	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	7	0	0	8	0	0	0	204	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	3	0	0	2	9	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	107	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	29	0	0	0	0
cleaned_SRR35556007_2	0	0	0	9	418	0	0	3505	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	6	0	0	6	0	0	6	0	0	0	191	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	8	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	3	1	0	1	1	0	0	0	0	0	3	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	28	0	0	0	0
cleaned_SRR35556008_1	0	0	0	0	2477	0	0	2502	0	0	0	4	0	37	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	8	0	0	1	0	24	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	99	0	0	3	0	0	96	0	0	0	101	0	0	0	2	18	0	0	0	0	0	0	0	0	0	0	20	5	0	6	10	0	47	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	60	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	2	0	2	75	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	27	0	3	0	0	0	3	2	0	0	0	1	3	109	0	0	0	134	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	985	0	0	0	0	0	0	5	0	0	0	1	0	0	1	1	8	0	0	0	0
cleaned_SRR35556008_2	0	0	0	0	2384	0	0	2372	0	0	0	1	0	35	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	11	0	0	1	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	92	0	0	3	0	0	87	0	0	0	98	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	25	7	0	4	7	0	39	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	63	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	2	68	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	4	0	0	28	0	3	0	0	0	2	2	0	0	0	2	2	85	0	0	0	135	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	903	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	11	0	0	0	0
cleaned_SRR35556009_1	0	0	0	1	401	0	0	4310	1	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	63	0	0	8	0	0	5	0	0	0	61	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	10	6	0	2	2	0	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	1	5	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	21	0	1	1	0	16	0	1	0	0	0	1	4	1	1	0	0	114	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	30	0	0	0	0
cleaned_SRR35556009_2	0	0	0	1	379	0	0	4184	1	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	64	1	0	9	0	0	5	0	0	0	57	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	11	5	0	2	3	0	6	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	1	5	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	14	0	0	19	0	0	1	0	14	0	1	0	0	0	1	6	1	1	0	0	112	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	17	0	0	0	0
cleaned_SRR35939735_1	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
cleaned_SRR35939735_2	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
cleaned_SRR35939736_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cleaned_SRR35939736_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
