genus_taxon	cleaned_SRR35556007_1	cleaned_SRR35556007_2	cleaned_SRR35556008_1	cleaned_SRR35556008_2	cleaned_SRR35556009_1	cleaned_SRR35556009_2	cleaned_SRR35939735_1	cleaned_SRR35939735_2	cleaned_SRR35939736_1	cleaned_SRR35939736_2	cleaned_SRR35939737_1	cleaned_SRR35939737_2	cleaned_SRR35939738_1	cleaned_SRR35939738_2	cleaned_SRR35939739_1	cleaned_SRR35939739_2	cleaned_SRR35939740_1	cleaned_SRR35939740_2	zclean_wastewater
Acetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax	11	9	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	21
Acinetobacter	439	418	2477	2384	401	379	49	74	0	0	0	0	0	0	6	6	0	0	879
Actinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acuticoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas	3707	3505	2502	2372	4310	4184	0	0	0	0	0	0	0	0	0	0	22	23	7619
Afonbuvirus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Agathobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agtrevirus	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aliarcobacter	17	14	37	35	42	34	0	0	0	0	0	0	0	0	0	0	0	0	33
Alicycliphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkanindiges	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amniculibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphritea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ampullimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquabacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquipseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aromatoleum	3	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4
Asticcacaulis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astrithrvirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azoarcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azohydromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azonexus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospirillum	4	4	10	8	5	7	0	0	0	0	0	0	0	0	0	0	0	0	8
Azotobacter	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
