taxon,community
Acidovorax,0
Acinetobacter,0
Aeromonas,0
Aliarcobacter,0
Aromatoleum,0
Azospirillum,0
Bacteroides,0
Carjivirus,0
Cetobacterium,0
Chryseobacterium,0
Citrobacter,0
Comamonas,0
Cupriavidus,0
Delftia,0
Enterobacter,0
Enterococcus,0
Escherichia,0
Faucicola,0
Flavobacterium,0
Fusobacterium,0
Klebsiella,0
Lactococcus,0
Microbacterium,0
Paracoccus,0
Phocaeicola,0
Pseudomonas,0
Ralstonia,0
Rhizobium,0
Rhodococcus,0
Salmonella,0
Segatella,0
Septimatrevirus,0
Sphingomonas,0
Sphingopyxis,0
Streptococcus,0
Thiothrix,0
Variovorax,0
Vequintavirus,0
Xanthomonas,0
