Acetobacter pasteurianus
Achromobacter pestifer
Achromobacter sp.
Acidithiobacillus caldus
Acidovorax carolinensis
Acidovorax facilis
Acidovorax sp. 210-6
Acidovorax sp. A79
Acidovorax sp. DW039
Acidovorax sp. T1
Acidovorax temperans
Acinetobacter baumannii
Acinetobacter bereziniae
Acinetobacter cumulans
Acinetobacter defluvii
Acinetobacter gandensis
Acinetobacter haemolyticus
Acinetobacter indicus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffii
Acinetobacter piscicola
Acinetobacter pittii
Acinetobacter pseudolwoffii
Acinetobacter radioresistens
Acinetobacter schindleri
Acinetobacter seifertii
Acinetobacter soli
Acinetobacter sp. ACNIH2
Acinetobacter sp. NEB 394
Acinetobacter sp. TR3
Acinetobacter sp. WCHA55
Acinetobacter sp. WCHAc010034
Acinetobacter sp. XH1801
Acinetobacter thermotolerans
Acinetobacter towneri
Acinetobacter ursingii
Acinetobacter variabilis
Acinetobacter wuhouensis
Actinomyces oris
Aeromonas allosaccharophila
Aeromonas caviae
Aeromonas dhakensis
Aeromonas hydrophila
Aeromonas jandaei
Aeromonas media
Aeromonas rivipollensis
Aeromonas salmonicida
Aeromonas sp.
Aeromonas sp. 19NY04SH05-1
Aeromonas sp. ASNIH2
Aeromonas sp. ASNIH4
Aeromonas sp. FDAARGOS 1402
Aeromonas sp. INTO2
Aeromonas sp. WP2-W18-CRE-05
Aeromonas veronii
Agathobacter rectalis
Agrobacterium tumefaciens
Aliarcobacter butzleri
Aliarcobacter cibarius
Aliarcobacter cryaerophilus
Aliarcobacter faecis
Alicycliphilus denitrificans
Alteromonas macleodii
Aminobacter sp. SR38
Amniculibacterium sp. G2-70
Ampullimonas aquatilis
Aquabacterium olei
Aquabacterium sp. OR-4
Arcobacter cloacae
Aureimonas sp. AU20
Azoarcus sp. KH32C
Azonexus hydrophilus
Azospira sp. I09
Azospirillum argentinense
Azospirillum brasilense
Azospirillum humicireducens
Azospirillum ramasamyi
Azospirillum sp. B510
Azospirillum thermophilum
Bacillus subtilis
Bacteroides faecis
Bacteroides fragilis
Bacteroides ovatus
Bacteroides sp. CACC 737
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides zhangwenhongii
Betacoronavirus pandemicum
Bifidobacterium longum
Bilophila wadsworthia
Blastomonas fulva
Blastomonas sp. RAC04
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia multivorans
Burkholderia savannae
Burkholderia sp. IDO3
Burkholderia stagnalis
Burkholderia vietnamiensis
Caballeronia grimmiae
Caballeronia sp. M1242
Caballeronia sp. S22
Campylobacter coli
Campylobacter jejuni
Candidatus Accumulibacter phosphatis
Carjivirus communis
Cellvibrio sp. QJXJ
Cereibacter azotoformans
Cetobacterium somerae
Chimaeribacter arupi
Chitinibacter bivalviorum
Chromobacterium amazonense
Chryseobacterium fluminis
Chryseobacterium oryzae
Chryseobacterium panacisoli
Chryseobacterium sp. ERMR1:04
Citrobacter braakii
Citrobacter freundii
Citrobacter portucalensis
Citrobacter sp. C1
Citrobacter sp. RHBSTW-00325
Citrobacter sp. TSA-1
Clostridioides difficile
Clostridium perfringens
Comamonas antarctica
Comamonas aquatica
Comamonas endophytica
Comamonas fluminis
Comamonas odontotermitis
Comamonas resistens
Comamonas sp. 7D-2
Comamonas sp. C11
Comamonas testosteroni
Comamonas thiooxydans
Cupriavidus campinensis
Cupriavidus metallidurans
Cupriavidus necator
Cupriavidus neocaledonicus
Cupriavidus oxalaticus
Cupriavidus pauculus
Cupriavidus sp. Agwp_2
Cupriavidus sp. DF5525
Cupriavidus sp. EM10
Cupriavidus taiwanensis
Cupriavidus yeoncheonensis
Dechloromonas sp. ARDL1
Deinococcus sp. NW-56
Delftia acidovorans
Delftia lacustris
Delftia sp. KV29
Diaphorobacter sp. HDW4A
Diaphorobacter sp. HDW4B
Diaphorobacter sp. JS3051
Diaphorobacter sp. MNS-0
Dyella sp. 20L07
Edwardsiella ictaluri
Eleftheria terrae
Elizabethkingia miricola
Ensifer adhaerens
Ensifer sp. PDNC004
Enterobacter asburiae
Enterobacter cloacae
Enterobacter cloacae complex sp. ECL404
Enterobacter hormaechei
Enterobacter kobei
Enterobacter roggenkampii
Enterococcus faecalis
Enterococcus faecium
Enterococcus lactis
Escherichia coli
Escherichia fergusonii
Escherichia phage HK639
Faucicola atlantae
Faucicola osloensis
Flavobacterium covae
Flavobacterium limnophilum
Fusobacterium vincentii
Gemmobacter fulvus
Haloarcula salina
Halomontanus rarus
Homo sapiens
Human feces pecovirus
Hydrogenophaga sp. BPS33
Hydrogenophaga sp. PBL-H3
Ideonella dechloratans
Klebsiella aerogenes
Klebsiella michiganensis
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella quasipneumoniae
Klebsiella sp. WOUb02
Klebsiella variicola
Kluyvera intermedia
Lachnospira eligens
Lactobacillus crispatus
Legionella adelaidensis
Lysinibacillus sp. RS11
Marinibacterium sp. SX1
Metallibacterium scheffleri
Methanolobus sp. ZRKC3
Methylobacterium bullatum
Methylococcus sp. EFPC2
Mitsuaria sp. 7
Mitsuokella multacida
Moellerella wisconsensis
Monoglobus pectinilyticus
Morganella morganii
Muribaculum gordoncarteri
Neisseria gonorrhoeae
Neptuniibacter sp. QD37_11
Niveibacterium microcysteis
Nonomuraea gerenzanensis
Novosphingobium sp. ES2-1
Novosphingobium sp. KACC 22771
Pandoraea sp. XJJ-1
Pantoea ananatis
Pantoea sp. JZ2
Parabacteroides distasonis
Paracoccus albicereus
Paracoccus aminovorans
Paracoccus denitrificans
Paracoccus versutus
Paracoccus yeei
Paragemmobacter aquarius
Pararhizobium gei
Pasteurella multocida
Phocaeicola dorei
Phyllobacterium sp. 628
Phyllobacterium zundukense
Phytobacter diazotrophicus
Piscinibacter gummiphilus
Plesiomonas shigelloides
Polaromonas hydrogenivorans
Polaromonas sp. E3S
Polaromonas sp. JS666
Porphyromonas gingivalis
Prevotella nigrescens
Proteus mirabilis
Providencia alcalifaciens
Pseudidiomarina salilacus
Pseudolactococcus raffinolactis
Pseudomonas aeruginosa
Pseudomonas bubulae
Pseudomonas fluorescens
Pseudomonas luteola
Pseudomonas marginalis
Pseudomonas nitroreducens
Pseudomonas oryzihabitans
Pseudomonas phage PS-1
Pseudomonas putida
Pseudomonas shirazensis
Pseudomonas sp. A2
Pseudomonas sp. LFM046
Pseudomonas sp. MIL9
Pseudomonas sp. UBT
Pseudomonas veronii
Pseudosulfitobacter pseudonitzschiae
Pusillibacter faecalis
Rahnella variigena
Rahnella victoriana
Ralstonia pseudosolanacearum
Ralstonia solanacearum
Ralstonia sp. 25C
Ralstonia sp. RRA
Ralstonia syzygii
Raoultella ornithinolytica
Raoultella planticola
Rhizobium rosettiformans
Rhizobium ruizarguesonis
Rhizobium sp. 32-5/1
Rhodococcus qingshengii
Rhodoferax antarcticus
Rhodopseudomonas sp. BAL398
Salmonella enterica
Segatella copri
Segatella hominis
Serratia marcescens
Serratia proteamaculans
Shewanella algae
Shewanella xiamenensis
Shinella oryzae
Shinella sp. PSBB067
Shinella zoogloeoides
Sorangium sp. So ce119
Sphaerotilus sulfidivorans
Sphingobium sp. RAC03
Sphingobium sp. WTD-1
Sphingomonas hankookensis
Sphingomonas panni
Sphingomonas parapaucimobilis
Sphingopyxis macrogoltabida
Sphingopyxis sp. FD7
Stenotrophomonas maltophilia
Stenotrophomonas phage S1
Streptococcus agalactiae
Streptococcus dysgalactiae
Streptococcus oralis
Streptococcus pasteurianus
Streptococcus suis
Streptococcus thermophilus
Streptomyces sp. BHT-5-2
Streptomyces sp. RK9
Stutzerimonas stutzeri
Sulfuriferula sp. AH1
Sulfurovum mangrovi
Tabrizicola piscis
Thauera sp. K11
Thermus thermophilus
Thiothrix fructosivorans
Thiothrix unzii
Thiothrix winogradskyi
Tistrella mobilis
Tritonibacter mobilis
Tsukamurella tyrosinosolvens
Variovorax paradoxus
Variovorax sp. EBFNA2
Variovorax sp. PDNC026
Variovorax sp. SCN45
Variovorax sp. V213
Variovorax sp. WS11
Verminephrobacter eiseniae
Vescimonas fastidiosa
Vibrio fortis
Vibrio furnissii
Vibrio sp. THAF190c
Vitreoscilla filiformis
Vitreoscilla stercoraria
Xanthomonas citri
Xanthomonas euvesicatoria
Xanthomonas perforans
Xanthomonas sacchari
Xylella fastidiosa
Yersinia pestis
