species_taxon	clean_wastewater	cleaned_SRR35556007_1	cleaned_SRR35556007_2	cleaned_SRR35556008_1	cleaned_SRR35556008_2	cleaned_SRR35556009_1	cleaned_SRR35556009_2	cleaned_SRR35939735_1	cleaned_SRR35939735_2	cleaned_SRR35939736_1	cleaned_SRR35939736_2	cleaned_SRR35939737_1	cleaned_SRR35939737_2	cleaned_SRR35939738_1	cleaned_SRR35939738_2	cleaned_SRR35939739_1	cleaned_SRR35939739_2	cleaned_SRR35939740_1	cleaned_SRR35939740_2
Acetobacter aceti	1	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter ghanensis	4	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter pasteurianus	0	0	0	20	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter persici	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter vaccinii	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter pestifer	2	1	1	38	35	5	5	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter ruhlandii	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter sp.	12	6	4	9	12	8	8	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter xylosoxidans	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidihalobacter aeolianus	2	1	1	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium acidophilum	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium multivorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillus caldus	121	62	61	4	1	10	6	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillus ferrianus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax carolinensis	47	21	21	79	78	55	48	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax delafieldii	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax facilis	13	7	5	27	21	4	3	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. 210-6	94	52	44	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. A79	30	18	13	33	28	22	19	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. DW039	436	217	199	310	299	121	107	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. GBBC 1281	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. K2F	3	2	1	2	2	4	5	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. T1	39	20	18	47	45	65	64	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax temperans	245	116	119	74	88	139	122	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter baumannii	140	65	71	492	459	104	103	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter bereziniae	4	2	2	8	6	3	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter chinensis	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter corruptisaponis	0	0	0	3	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter cumulans	22	11	9	13	10	8	5	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter defluvii	5	2	3	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter entericus	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter gandensis	0	0	0	6	8	3	4	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter gerneri	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter haemolyticus	5	4	2	23	26	4	3	1	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter indicus	8	3	5	7	8	1	3	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter johnsonii	33	17	14	24	25	13	15	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter junii	2	1	1	4	3	0	0	286	274	0	0	0	0	0	0	0	0	0	0
Acinetobacter larvae	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter lwoffii	22	11	10	26	29	11	7	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter nosocomialis	1	1	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter piscicola	5	3	2	8	6	1	4	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter pittii	5	2	3	26	22	5	7	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter portensis	1	0	1	1	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter pseudolwoffii	11	5	5	14	15	5	4	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter radioresistens	9	3	6	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter schindleri	6	3	3	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sedimenti	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter seifertii	0	0	0	14	15	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter septicus	2	1	1	2	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter soli	12	5	7	7	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp.	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. 10FS3-1	1	0	1	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. A1-4-2	2	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. ACNIH2	4	2	2	1	1	4	4	54	48	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. AHP123	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. ANC 7201	4	2	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. ESL0695	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. FDAARGOS_724	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. LoGeW2-3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. M131	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. NCu2D-2	5	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. NEB 394	26	13	12	31	31	13	15	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. NEB149	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. P1332	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. PC34	4	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. PK01	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. Res13-Abat-PEC07-P2-02	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. SAAs474	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. SCLZS86	2	1	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. SH20PTE14	3	2	1	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. SWBY1	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TAC-1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TGL-Y2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TR11	2	1	1	5	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TR3	8	4	4	20	19	2	2	0	1	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. TTH0-4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. WCHA45	2	1	1	2	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. WCHA55	4	2	2	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. WCHAc010034	77	37	39	458	449	46	42	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. WY4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. XH1801	40	22	17	77	86	45	48	18	5	0	0	0	0	1	0	0	0	0	0
Acinetobacter sp. YH12138	4	3	1	5	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. YT-02	3	2	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. YWS30-1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. Z1	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter tandoii	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter terrestris	4	2	2	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter thermotolerans	3	1	2	21	20	8	3	0	0	0	0	0	0	0	0	0	0	0	0
