taxon,community
Acetobacter pasteurianus,1
Achromobacter pestifer,1
Achromobacter sp.,1
Acidithiobacillus caldus,1
Acidovorax carolinensis,1
Acidovorax facilis,1
Acidovorax sp. 210-6,1
Acidovorax sp. A79,1
Acidovorax sp. DW039,1
Acidovorax sp. T1,1
Acidovorax temperans,1
Acinetobacter baumannii,1
Acinetobacter bereziniae,1
Acinetobacter cumulans,1
Acinetobacter defluvii,1
Acinetobacter gandensis,1
Acinetobacter haemolyticus,1
Acinetobacter indicus,1
Acinetobacter johnsonii,1
Acinetobacter junii,1
Acinetobacter lwoffii,1
Acinetobacter piscicola,1
Acinetobacter pittii,1
Acinetobacter pseudolwoffii,1
Acinetobacter radioresistens,1
Acinetobacter schindleri,1
Acinetobacter seifertii,1
Acinetobacter soli,1
Acinetobacter sp. ACNIH2,1
Acinetobacter sp. NEB 394,1
Acinetobacter sp. TR3,1
Acinetobacter sp. WCHA55,1
Acinetobacter sp. WCHAc010034,1
Acinetobacter sp. XH1801,1
Acinetobacter thermotolerans,1
Acinetobacter towneri,1
Acinetobacter ursingii,1
Acinetobacter variabilis,1
Acinetobacter wuhouensis,1
Actinomyces oris,1
Aeromonas allosaccharophila,1
Aeromonas caviae,1
Aeromonas dhakensis,1
Aeromonas hydrophila,1
Aeromonas jandaei,1
Aeromonas media,1
Aeromonas rivipollensis,1
Aeromonas salmonicida,1
Aeromonas sp.,1
Aeromonas sp. 19NY04SH05-1,1
Aeromonas sp. ASNIH2,1
Aeromonas sp. ASNIH4,1
Aeromonas sp. FDAARGOS 1402,1
Aeromonas sp. INTO2,1
Aeromonas sp. WP2-W18-CRE-05,1
Aeromonas veronii,1
Agathobacter rectalis,1
Agrobacterium tumefaciens,1
Aliarcobacter butzleri,1
Aliarcobacter cibarius,1
Aliarcobacter cryaerophilus,1
Aliarcobacter faecis,1
Alicycliphilus denitrificans,1
Alteromonas macleodii,1
Aminobacter sp. SR38,1
Amniculibacterium sp. G2-70,1
Ampullimonas aquatilis,1
Aquabacterium olei,1
Aquabacterium sp. OR-4,1
Arcobacter cloacae,1
Aureimonas sp. AU20,1
Azoarcus sp. KH32C,1
Azonexus hydrophilus,1
Azospira sp. I09,1
Azospirillum argentinense,1
Azospirillum brasilense,1
Azospirillum humicireducens,1
Azospirillum ramasamyi,1
Azospirillum sp. B510,1
Azospirillum thermophilum,1
Bacillus subtilis,1
Bacteroides faecis,1
Bacteroides fragilis,1
Bacteroides ovatus,1
Bacteroides sp. CACC 737,1
Bacteroides thetaiotaomicron,1
Bacteroides uniformis,1
Bacteroides zhangwenhongii,1
Betacoronavirus pandemicum,1
Bifidobacterium longum,1
Bilophila wadsworthia,1
Blastomonas fulva,1
Blastomonas sp. RAC04,1
Burkholderia cenocepacia,1
Burkholderia cepacia,1
Burkholderia multivorans,1
Burkholderia savannae,1
Burkholderia sp. IDO3,1
Burkholderia stagnalis,1
Burkholderia vietnamiensis,1
Caballeronia grimmiae,1
Caballeronia sp. M1242,1
Caballeronia sp. S22,1
Campylobacter coli,1
Campylobacter jejuni,1
Candidatus Accumulibacter phosphatis,1
Carjivirus communis,1
Cellvibrio sp. QJXJ,1
Cereibacter azotoformans,1
Cetobacterium somerae,1
Chimaeribacter arupi,1
Chitinibacter bivalviorum,1
Chromobacterium amazonense,1
Chryseobacterium fluminis,1
Chryseobacterium oryzae,1
Chryseobacterium panacisoli,1
Chryseobacterium sp. ERMR1:04,1
Citrobacter braakii,1
Citrobacter freundii,1
Citrobacter portucalensis,1
Citrobacter sp. C1,1
Citrobacter sp. RHBSTW-00325,1
Citrobacter sp. TSA-1,1
Clostridioides difficile,1
Clostridium perfringens,1
Comamonas antarctica,1
Comamonas aquatica,1
Comamonas endophytica,1
Comamonas fluminis,1
Comamonas odontotermitis,1
Comamonas resistens,1
Comamonas sp. 7D-2,1
Comamonas sp. C11,1
Comamonas testosteroni,1
Comamonas thiooxydans,1
Cupriavidus campinensis,1
Cupriavidus metallidurans,1
Cupriavidus necator,1
Cupriavidus neocaledonicus,1
Cupriavidus oxalaticus,1
Cupriavidus pauculus,1
Cupriavidus sp. Agwp_2,1
Cupriavidus sp. DF5525,1
Cupriavidus sp. EM10,1
Cupriavidus taiwanensis,1
Cupriavidus yeoncheonensis,1
Dechloromonas sp. ARDL1,1
Deinococcus sp. NW-56,1
Delftia acidovorans,1
Delftia lacustris,1
Delftia sp. KV29,1
