taxon,community
Achromobacter sp.,1
Acidithiobacillus caldus,4
Acidovorax carolinensis,0
Acidovorax sp. A79,4
Acidovorax sp. DW039,0
Acidovorax sp. T1,0
Acidovorax temperans,0
Acinetobacter baumannii,0
Acinetobacter bereziniae,4
Acinetobacter cumulans,4
Acinetobacter defluvii,4
Acinetobacter gandensis,4
Acinetobacter haemolyticus,5
Acinetobacter indicus,4
Acinetobacter johnsonii,0
Acinetobacter lwoffii,5
Acinetobacter piscicola,4
Acinetobacter pittii,5
Acinetobacter pseudolwoffii,5
Acinetobacter schindleri,4
Acinetobacter soli,4
Acinetobacter sp. ACNIH2,4
Acinetobacter sp. NEB 394,0
Acinetobacter sp. TR11,4
Acinetobacter sp. TR3,5
Acinetobacter sp. WCHA55,4
Acinetobacter sp. WCHAc010034,0
Acinetobacter sp. XH1801,8
Acinetobacter thermotolerans,5
Acinetobacter towneri,6
Acinetobacter ursingii,5
Acinetobacter variabilis,4
Acinetobacter wuhouensis,8
Actinomyces oris,1
Aeromonas allosaccharophila,1
Aeromonas caviae,7
Aeromonas dhakensis,4
Aeromonas hydrophila,0
Aeromonas jandaei,1
Aeromonas media,0
Aeromonas rivipollensis,8
Aeromonas salmonicida,8
Aeromonas sp.,4
Aeromonas sp. 19NY04SH05-1,4
Aeromonas sp. ASNIH2,8
Aeromonas sp. ASNIH4,4
Aeromonas sp. FDAARGOS 1402,4
Aeromonas sp. INTO2,0
Aeromonas sp. WP2-W18-CRE-05,4
Aeromonas veronii,0
Agathobacter rectalis,3
Agrobacterium pusense,4
Aliarcobacter butzleri,0
Aliarcobacter cibarius,7
Aliarcobacter cryaerophilus,0
Aliarcobacter faecis,0
Alicycliphilus denitrificans,0
Amniculibacterium sp. G2-70,4
Ampullimonas aquatilis,5
Aquabacterium sp. OR-4,4
Arcobacter cloacae,5
Azoarcus sp. KH32C,4
Azonexus hydrophilus,4
Azospira sp. I09,5
Bacteroides faecis,4
Bacteroides fragilis,0
Bacteroides ovatus,4
Bacteroides sp. CACC 737,5
Bacteroides thetaiotaomicron,3
Bacteroides uniformis,3
Bacteroides zhangwenhongii,3
Betacoronavirus pandemicum,3
Bifidobacterium longum,0
Bilophila wadsworthia,3
Blastomonas fulva,5
Burkholderia vietnamiensis,3
Campylobacter coli,6
Campylobacter jejuni,4
Carjivirus communis,5
Chitinibacter bivalviorum,3
Chromobacterium amazonense,0
Chryseobacterium fluminis,8
Chryseobacterium oryzae,4
Chryseobacterium sp. ERMR1:04,4
Citrobacter braakii,3
Citrobacter freundii,0
Citrobacter portucalensis,4
Citrobacter sp. C1,3
Citrobacter sp. RHBSTW-00325,3
Citrobacter sp. TSA-1,9
Clostridioides difficile,1
Comamonas antarctica,6
Comamonas aquatica,4
Comamonas fluminis,4
Comamonas odontotermitis,2
Comamonas resistens,5
Comamonas sp. 7D-2,3
Comamonas sp. C11,0
Comamonas testosteroni,0
Comamonas thiooxydans,8
Cupriavidus campinensis,4
Cupriavidus metallidurans,0
Cupriavidus pauculus,4
Cupriavidus sp. DF5525,8
Cupriavidus sp. EM10,9
Cupriavidus taiwanensis,4
Dechloromonas sp. ARDL1,0
Delftia acidovorans,0
Delftia lacustris,9
Delftia sp. KV29,8
Diaphorobacter sp. HDW4A,0
Diaphorobacter sp. HDW4B,5
Diaphorobacter sp. JS3051,5
Diaphorobacter sp. MNS-0,0
Edwardsiella ictaluri,4
Eleftheria terrae,4
Enterobacter asburiae,9
Enterobacter cloacae,0
Enterobacter cloacae complex sp. ECL404,5
Enterobacter hormaechei,0
Enterobacter kobei,0
Enterobacter roggenkampii,0
Enterococcus faecalis,3
Enterococcus faecium,3
Enterococcus gallinarum,4
Enterococcus lactis,5
Escherichia coli,0
Faucicola atlantae,3
Faucicola osloensis,0
Flavobacterium covae,8
Flavobacterium limnophilum,2
Gemmobacter fulvus,9
Halomontanus rarus,3
Homo sapiens,0
Ideonella dechloratans,4
Klebsiella michiganensis,5
Klebsiella oxytoca,4
Klebsiella pneumoniae,0
Klebsiella quasipneumoniae,1
Klebsiella sp. WOUb02,4
Klebsiella variicola,1
Kluyvera intermedia,1
Lachnospira eligens,6
Lysinibacillus sp. RS11,4
Mitsuaria sp. 7,2
Mitsuokella multacida,3
Moellerella wisconsensis,1
Monoglobus pectinilyticus,4
Morganella morganii,4
Neisseria gonorrhoeae,0
Neptuniibacter sp. QD37_11,4
Niveibacterium microcysteis,5
Nonomuraea gerenzanensis,4
Parabacteroides distasonis,3
Paracoccus aminovorans,5
Paracoccus versutus,4
Paracoccus yeei,5
Phocaeicola dorei,4
Phocaeicola vulgatus,4
Polaromonas sp. E3S,4
Proteus mirabilis,4
Pseudolactococcus raffinolactis,0
Pseudomonas aeruginosa,0
Pseudomonas bubulae,0
Pseudomonas fluorescens,0
Pseudomonas lundensis,4
Pseudomonas nitroreducens,1
Pseudomonas oryzihabitans,4
Pseudomonas putida,8
Pseudomonas shirazensis,9
Pseudomonas sp.,4
Pseudomonas sp. A2,3
Pseudomonas sp. LFM046,4
Pseudomonas sp. MIL9,6
Pseudomonas sp. UBT,9
Pseudomonas veronii,4
Pusillibacter faecalis,0
Ralstonia sp. RRA,5
Raoultella ornithinolytica,4
Raoultella planticola,4
Rhizobium rosettiformans,3
Rhodococcus qingshengii,4
Salmonella enterica,1
Segatella copri,0
Segatella hominis,3
Serratia marcescens,0
Shewanella xiamenensis,3
Shinella sp. PSBB067,6
Sphaerotilus sulfidivorans,6
Sphingobium sp. WTD-1,3
Sphingomonas hankookensis,9
Sphingomonas panni,5
Sphingomonas parapaucimobilis,4
Stenotrophomonas maltophilia,1
Streptococcus dysgalactiae,4
Streptococcus oralis,8
Streptococcus thermophilus,1
Sulfuriferula sp. AH1,4
Sulfurovum mangrovi,4
Tabrizicola piscis,3
Thauera sp. K11,1
Thiothrix fructosivorans,4
Thiothrix unzii,4
Thiothrix winogradskyi,6
Tistrella mobilis,5
Tsukamurella tyrosinosolvens,4
Variovorax paradoxus,2
Variovorax sp. PDNC026,4
Variovorax sp. WS11,4
Verminephrobacter eiseniae,4
Vescimonas fastidiosa,0
Vibrio furnissii,8
Vitreoscilla filiformis,4
Vitreoscilla stercoraria,4
Xanthomonas euvesicatoria,4
Xanthomonas perforans,4
Xanthomonas sacchari,4
