taxon,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9
Achromobacter sp.,2.2440190583973182e-198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidithiobacillus caldus,0.0,0.0,0.0,2.5378067072725615e-178,1.0,4.924776714669002e-48,0.0,0.0,0.0,0.0
Acidovorax carolinensis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidovorax sp. A79,0.0,0.0,0.0,3.7695953579753035e-161,1.0,1.4670957797804392e-38,0.0,0.0,0.0,0.0
Acidovorax sp. DW039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidovorax sp. T1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidovorax temperans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter baumannii,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter bereziniae,0.0,0.0,0.0,0.0,1.0,5.2194169554078285e-23,0.0,0.0,0.0,0.0
Acinetobacter cumulans,0.0,5.046948789265174e-168,0.0,0.0,1.0,6.909769672822104e-24,0.0,0.0,0.0,0.0
Acinetobacter defluvii,0.0,0.0,0.0,0.0,1.0,6.229590052814296e-23,0.0,0.0,0.0,0.0
Acinetobacter gandensis,0.0,3.3381613568739176e-65,0.0,0.0,0.999999999997847,2.152162703343082e-12,0.0,0.0,0.0,0.0
Acinetobacter haemolyticus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.554896841005549e-172,0.0
Acinetobacter indicus,0.0,1.6169139373943498e-244,0.0,0.0,1.0,7.609719777781358e-24,0.0,0.0,0.0,0.0
Acinetobacter johnsonii,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter lwoffii,0.0,0.0,0.0,0.0,0.0,1.0,1.351364687446827e-149,0.0,0.0,0.0
Acinetobacter piscicola,0.0,0.0,0.0,0.0,1.0,1.8607409117848646e-22,0.0,0.0,0.0,0.0
Acinetobacter pittii,0.0,0.0,0.0,0.0,1.3048326047756744e-216,1.0,0.0,0.0,1.8681743701813372e-69,0.0
Acinetobacter pseudolwoffii,0.0,0.0,0.0,0.0,3.5119369869293536e-97,1.0,0.0,0.0,0.0,0.0
Acinetobacter schindleri,0.0,0.0,0.0,0.0,1.0,6.229590052823017e-23,0.0,0.0,0.0,0.0
Acinetobacter soli,0.0,0.0,0.0,5.5937329141072754e-164,1.0,3.1101565307809544e-35,0.0,0.0,0.0,0.0
Acinetobacter sp. ACNIH2,0.0,0.0,0.0,0.0,1.0,1.6780979645169992e-95,0.0,0.0,0.0,0.0
Acinetobacter sp. NEB 394,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter sp. TR11,0.0,2.679726158734621e-47,0.0,0.0,0.9999999999999645,3.7162025345611225e-14,0.0,0.0,0.0,0.0
Acinetobacter sp. TR3,0.0,0.0,0.0,0.0,9.096337614199659e-36,1.0,0.0,0.0,0.0,0.0
Acinetobacter sp. WCHA55,0.0,1.1687881819038292e-158,0.0,0.0,1.0,1.694147724733985e-69,0.0,0.0,0.0,0.0
Acinetobacter sp. WCHAc010034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter sp. XH1801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Acinetobacter thermotolerans,0.0,0.0,0.0,0.0,6.6611543484773756e-130,1.0,0.0,0.0,8.201233279683158e-183,0.0
Acinetobacter towneri,1.8350897354369509e-165,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Acinetobacter ursingii,0.0,0.0,0.0,0.0,4.111763456899171e-118,1.0,0.0,0.0,3.1916860529444637e-154,0.0
Acinetobacter variabilis,0.0,4.980694228895588e-106,0.0,0.0,1.0,1.3283119631985174e-19,0.0,0.0,0.0,0.0
Acinetobacter wuhouensis,4.922524540496708e-236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Actinomyces oris,0.0,1.0,0.0,0.0,3.4708348423276316e-123,0.0,0.0,0.0,0.0,0.0
Aeromonas allosaccharophila,0.0,1.0,0.0,0.0,7.723356789035773e-227,0.0,0.0,0.0,1.6021070737818693e-137,0.0
Aeromonas caviae,6.288649377964856e-261,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Aeromonas dhakensis,0.0,1.3595243290908174e-158,0.0,0.0,1.0,6.011604548316687e-72,0.0,0.0,0.0,0.0
Aeromonas hydrophila,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeromonas jandaei,0.0,1.0,0.0,0.0,3.470834842337102e-123,0.0,0.0,0.0,0.0,0.0
Aeromonas media,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeromonas rivipollensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aeromonas salmonicida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aeromonas sp.,0.0,7.981009203052167e-70,0.0,0.0,0.9999999999996092,3.8771430847773626e-13,0.0,0.0,0.0,0.0
Aeromonas sp. 19NY04SH05-1,0.0,1.4035834151405574e-41,0.0,0.0,0.999999999999929,6.799499794368447e-14,0.0,0.0,0.0,0.0
Aeromonas sp. ASNIH2,0.0,0.0,0.0,0.0,0.0,6.225809845509879e-273,0.0,0.0,1.0,0.0
Aeromonas sp. ASNIH4,0.0,3.850432778228423e-292,0.0,0.0,1.0,1.1601891582010568e-76,0.0,0.0,0.0,0.0
Aeromonas sp. FDAARGOS 1402,0.0,1.5188590133260805e-143,0.0,0.0,1.0,3.0541192072988967e-21,0.0,0.0,0.0,0.0
Aeromonas sp. INTO2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeromonas sp. WP2-W18-CRE-05,0.0,7.765658078960145e-73,0.0,0.0,0.9999999999999787,2.1533456075124306e-14,0.0,0.0,0.0,0.0
Aeromonas veronii,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agathobacter rectalis,0.0,0.0,0.0,1.0,9.206100282488513e-281,0.0,0.0,0.0,0.0,0.0
Agrobacterium pusense,0.0,0.0,0.0,5.5937329140999624e-164,1.0,3.110156530779982e-35,0.0,0.0,0.0,0.0
Aliarcobacter butzleri,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aliarcobacter cibarius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Aliarcobacter cryaerophilus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aliarcobacter faecis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alicycliphilus denitrificans,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amniculibacterium sp. G2-70,0.0,0.0,0.0,2.2746554770943086e-173,1.0,7.770626267128851e-51,0.0,0.0,0.0,0.0
Ampullimonas aquatilis,0.0,0.0,0.0,0.0,5.509375747146267e-271,1.0,0.0,0.0,8.509609294792222e-59,0.0
Aquabacterium sp. OR-4,0.0,0.0,0.0,7.746298703074915e-73,1.0,2.4398437077512794e-160,0.0,0.0,0.0,0.0
Arcobacter cloacae,0.0,0.0,0.0,0.0,2.2822547274550427e-219,1.0,0.0,0.0,4.667717908971995e-50,0.0
Azoarcus sp. KH32C,0.0,5.931322349863564e-207,0.0,0.0,1.0,3.380319620061044e-64,0.0,0.0,0.0,0.0
Azonexus hydrophilus,0.0,0.0,0.0,2.6617360202635457e-306,1.0,3.5032374848505006e-35,0.0,0.0,0.0,0.0
Azospira sp. I09,0.0,0.0,0.0,0.0,3.766912010606703e-253,1.0,0.0,0.0,7.931536993664524e-153,0.0
Bacteroides faecis,0.0,0.0,0.0,1.6992389348944195e-198,1.0,4.624256092967837e-102,0.0,0.0,0.0,0.0
Bacteroides fragilis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides ovatus,0.0,0.0,0.0,3.242785943154703e-204,1.0,1.9620262247101714e-99,0.0,0.0,0.0,0.0
Bacteroides sp. CACC 737,0.0,0.0,0.0,0.0,7.807645122118976e-179,1.0,0.0,0.0,3.105105245947136e-188,0.0
