taxon,community
Acidovorax,2
Acinetobacter,4
Aeromonas,5
Aliarcobacter,5
Aromatoleum,0
Azospirillum,0
Bacteroides,2
Carjivirus,0
Cetobacterium,0
Chryseobacterium,1
Citrobacter,3
Comamonas,2
Cupriavidus,5
Delftia,6
Enterobacter,1
Enterococcus,0
Escherichia,0
Faucicola,2
Flavobacterium,6
Fusobacterium,0
Klebsiella,5
Lactococcus,0
Microbacterium,1
Paracoccus,6
Phocaeicola,0
Pseudomonas,4
Ralstonia,0
Rhizobium,0
Rhodococcus,0
Salmonella,1
Segatella,4
Septimatrevirus,0
Sphingomonas,0
Sphingopyxis,6
Streptococcus,5
Thiothrix,2
Variovorax,0
Vequintavirus,0
Xanthomonas,3
