taxon,k0,k1,k2,k3,k4,k5,k6
Acidovorax,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Acinetobacter,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Aeromonas,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aliarcobacter,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aromatoleum,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Azospirillum,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Carjivirus,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cetobacterium,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Chryseobacterium,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Citrobacter,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Comamonas,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cupriavidus,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Delftia,6.727717654872634e-178,0.0,0.0,0.0,0.0,0.0,1.0
Enterobacter,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Enterococcus,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Escherichia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Faucicola,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Flavobacterium,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fusobacterium,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Klebsiella,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Lactococcus,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Microbacterium,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Paracoccus,2.8514770719378226e-147,0.0,0.0,0.0,0.0,0.0,1.0
Phocaeicola,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudomonas,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Ralstonia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhizobium,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhodococcus,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Salmonella,4.5947524549440715e-109,1.0,0.0,0.0,0.0,0.0,0.0
Segatella,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Septimatrevirus,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sphingomonas,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sphingopyxis,3.08538374144923e-106,0.0,0.0,0.0,0.0,0.0,1.0
Streptococcus,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Thiothrix,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Variovorax,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vequintavirus,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Xanthomonas,0.0,0.0,0.0,1.0,0.0,0.0,0.0
