species_taxon	cleaned_SRR35556007_1	cleaned_SRR35556007_2	cleaned_SRR35556008_1	cleaned_SRR35556008_2	cleaned_SRR35556009_1	cleaned_SRR35556009_2	cleaned_SRR35939735_1	cleaned_SRR35939735_2	cleaned_SRR35939736_1	cleaned_SRR35939736_2	cleaned_SRR35939737_1	cleaned_SRR35939737_2	cleaned_SRR35939738_1	cleaned_SRR35939738_2	cleaned_SRR35939739_1	cleaned_SRR35939739_2	cleaned_SRR35939740_1	cleaned_SRR35939740_2	zclean_wastewater
Acetobacter aceti	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter pasteurianus	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter persici	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acetobacter vaccinii	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter pestifer	0	0	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter sp.	6	4	9	12	8	8	0	0	0	0	0	0	0	0	0	0	0	0	11
Achromobacter xylosoxidans	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillus caldus	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Acidovorax carolinensis	15	16	56	53	38	38	0	0	0	0	0	0	0	0	0	0	0	0	35
Acidovorax delafieldii	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax facilis	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. 210-6	8	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Acidovorax sp. A79	4	3	5	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	7
Acidovorax sp. DW039	134	115	204	193	69	59	0	0	0	0	0	0	0	0	0	0	0	0	260
Acidovorax sp. GBBC 1281	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acidovorax sp. K2F	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax sp. T1	16	15	38	40	54	52	0	0	0	0	0	0	0	0	0	0	0	0	29
Acidovorax temperans	106	106	62	65	107	92	0	0	0	0	0	0	0	0	0	0	0	0	218
Acinetobacter baumannii	9	12	99	98	27	28	0	0	0	0	0	0	0	0	0	0	0	0	21
Acinetobacter bereziniae	1	1	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acinetobacter chinensis	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter corruptisaponis	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter cumulans	1	1	5	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Acinetobacter defluvii	1	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Acinetobacter entericus	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter gandensis	0	0	4	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter gerneri	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter haemolyticus	1	0	14	12	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter indicus	1	1	5	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Acinetobacter johnsonii	10	9	16	16	8	10	0	0	0	0	0	0	0	0	0	0	0	0	20
Acinetobacter junii	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter larvae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter lwoffii	6	4	17	20	6	5	0	0	0	0	0	0	0	0	0	0	0	0	11
Acinetobacter nosocomialis	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter piscicola	2	1	7	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3
Acinetobacter pittii	1	2	16	16	4	4	0	0	0	0	0	0	0	0	0	0	0	0	3
Acinetobacter portensis	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter pseudolwoffii	3	3	10	12	2	1	0	0	0	0	0	0	0	0	0	0	0	0	6
Acinetobacter radioresistens	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Acinetobacter schindleri	2	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
