taxon,community
Achromobacter sp.,1
Acidithiobacillus caldus,1
Acidovorax carolinensis,1
Acidovorax sp. A79,1
Acidovorax sp. DW039,1
Acidovorax sp. T1,1
Acidovorax temperans,1
Acinetobacter baumannii,1
Acinetobacter bereziniae,1
Acinetobacter cumulans,1
Acinetobacter defluvii,1
Acinetobacter gandensis,1
Acinetobacter haemolyticus,1
Acinetobacter indicus,1
Acinetobacter johnsonii,1
Acinetobacter lwoffii,1
Acinetobacter piscicola,1
Acinetobacter pittii,1
Acinetobacter pseudolwoffii,1
Acinetobacter schindleri,1
Acinetobacter soli,1
Acinetobacter sp. ACNIH2,1
Acinetobacter sp. NEB 394,1
Acinetobacter sp. TR11,1
Acinetobacter sp. TR3,1
Acinetobacter sp. WCHA55,1
Acinetobacter sp. WCHAc010034,1
Acinetobacter sp. XH1801,1
Acinetobacter thermotolerans,1
Acinetobacter towneri,1
Acinetobacter ursingii,1
Acinetobacter variabilis,1
Acinetobacter wuhouensis,1
Actinomyces oris,1
Aeromonas allosaccharophila,1
Aeromonas caviae,1
Aeromonas dhakensis,1
Aeromonas hydrophila,1
Aeromonas jandaei,1
Aeromonas media,1
Aeromonas rivipollensis,1
Aeromonas salmonicida,1
Aeromonas sp.,1
Aeromonas sp. 19NY04SH05-1,1
Aeromonas sp. ASNIH2,1
Aeromonas sp. ASNIH4,1
Aeromonas sp. FDAARGOS 1402,1
Aeromonas sp. INTO2,1
Aeromonas sp. WP2-W18-CRE-05,1
Aeromonas veronii,1
Agathobacter rectalis,1
Agrobacterium pusense,1
Aliarcobacter butzleri,1
Aliarcobacter cibarius,1
Aliarcobacter cryaerophilus,1
Aliarcobacter faecis,1
Alicycliphilus denitrificans,1
Amniculibacterium sp. G2-70,1
Ampullimonas aquatilis,1
Aquabacterium sp. OR-4,1
Arcobacter cloacae,1
Azoarcus sp. KH32C,1
Azonexus hydrophilus,1
Azospira sp. I09,1
Bacteroides faecis,1
Bacteroides fragilis,1
Bacteroides ovatus,1
Bacteroides sp. CACC 737,1
Bacteroides thetaiotaomicron,1
Bacteroides uniformis,1
Bacteroides zhangwenhongii,1
Betacoronavirus pandemicum,1
Bifidobacterium longum,1
Bilophila wadsworthia,1
Blastomonas fulva,1
Burkholderia vietnamiensis,1
Campylobacter coli,1
Campylobacter jejuni,1
Carjivirus communis,1
Chitinibacter bivalviorum,1
Chromobacterium amazonense,1
Chryseobacterium fluminis,1
Chryseobacterium oryzae,1
Chryseobacterium sp. ERMR1:04,1
Citrobacter braakii,1
Citrobacter freundii,1
Citrobacter portucalensis,1
Citrobacter sp. C1,1
Citrobacter sp. RHBSTW-00325,1
Citrobacter sp. TSA-1,1
Clostridioides difficile,1
Comamonas antarctica,1
Comamonas aquatica,1
Comamonas fluminis,1
Comamonas odontotermitis,1
Comamonas resistens,1
Comamonas sp. 7D-2,1
Comamonas sp. C11,1
Comamonas testosteroni,1
Comamonas thiooxydans,1
Cupriavidus campinensis,1
Cupriavidus metallidurans,1
Cupriavidus pauculus,1
Cupriavidus sp. DF5525,1
Cupriavidus sp. EM10,1
Cupriavidus taiwanensis,1
Dechloromonas sp. ARDL1,1
Delftia acidovorans,1
Delftia lacustris,1
Delftia sp. KV29,1
Diaphorobacter sp. HDW4A,1
Diaphorobacter sp. HDW4B,1
Diaphorobacter sp. JS3051,1
Diaphorobacter sp. MNS-0,1
Edwardsiella ictaluri,1
Eleftheria terrae,1
Enterobacter asburiae,1
Enterobacter cloacae,1
Enterobacter cloacae complex sp. ECL404,1
Enterobacter hormaechei,1
Enterobacter kobei,1
Enterobacter roggenkampii,1
Enterococcus faecalis,1
Enterococcus faecium,1
Enterococcus gallinarum,1
Enterococcus lactis,1
Escherichia coli,1
Faucicola atlantae,1
Faucicola osloensis,1
Flavobacterium covae,1
Flavobacterium limnophilum,1
Gemmobacter fulvus,1
Halomontanus rarus,1
Homo sapiens,1
Ideonella dechloratans,1
Klebsiella michiganensis,1
Klebsiella oxytoca,1
Klebsiella pneumoniae,1
Klebsiella quasipneumoniae,1
Klebsiella sp. WOUb02,1
Klebsiella variicola,1
Kluyvera intermedia,1
Lachnospira eligens,1
Lysinibacillus sp. RS11,1
Mitsuaria sp. 7,1
Mitsuokella multacida,1
Moellerella wisconsensis,1
Monoglobus pectinilyticus,1
Morganella morganii,1
Neisseria gonorrhoeae,1
Neptuniibacter sp. QD37_11,1
Niveibacterium microcysteis,1
Nonomuraea gerenzanensis,1
Parabacteroides distasonis,1
Paracoccus aminovorans,1
Paracoccus versutus,1
Paracoccus yeei,1
Phocaeicola dorei,1
Phocaeicola vulgatus,1
Polaromonas sp. E3S,1
Proteus mirabilis,1
Pseudolactococcus raffinolactis,1
Pseudomonas aeruginosa,1
Pseudomonas bubulae,1
Pseudomonas fluorescens,1
Pseudomonas lundensis,1
Pseudomonas nitroreducens,1
Pseudomonas oryzihabitans,1
Pseudomonas putida,1
Pseudomonas shirazensis,1
Pseudomonas sp.,1
Pseudomonas sp. A2,1
Pseudomonas sp. LFM046,1
Pseudomonas sp. MIL9,1
Pseudomonas sp. UBT,1
Pseudomonas veronii,1
Pusillibacter faecalis,1
Ralstonia sp. RRA,1
Raoultella ornithinolytica,1
Raoultella planticola,1
Rhizobium rosettiformans,1
Rhodococcus qingshengii,1
Salmonella enterica,1
Segatella copri,1
Segatella hominis,1
Serratia marcescens,1
Shewanella xiamenensis,1
Shinella sp. PSBB067,1
Sphaerotilus sulfidivorans,1
Sphingobium sp. WTD-1,1
Sphingomonas hankookensis,1
Sphingomonas panni,1
Sphingomonas parapaucimobilis,1
Stenotrophomonas maltophilia,1
