	Acetobacter	Achromobacter	Acidihalobacter	Acidiphilium	Acidithiobacillus	Acidovorax	Acinetobacter	Actinobacillus	Actinomyces	Acuticoccus	Aeromonas	Afonbuvirus	Agathobacter	Agrobacterium	Agtrevirus	Akkermansia	Alcaligenes	Aliarcobacter	Alicycliphilus	Aliiroseovarius	Alkanindiges	Allorhizobium	Alloyangia	Alteromonas	Aminobacter	Amniculibacterium	Amphritea	Ampullimonas	Antarcticirhabdus	Aquabacterium	Aquipseudomonas	Arcobacter	Aromatoleum	Arthrobacter	Asticcacaulis	Astrithrvirus	Aureimonas	Azoarcus	Azohydromonas	Azonexus	Azospira	Azospirillum	Azotobacter	Bacillus	Bacteroides	Bcepmuvirus	Bernardetia	Betacoronavirus	Bielevirus	Bifidobacterium	Bilophila	Blastomonas	Blautia	Borreliella	Bosavirus	Bosea	Bradyrhizobium	Brevibacillus	Brevirhabdus	Brevundimonas	Brigitvirus	Brussowvirus	Bugaksanvirus	Burkholderia	Burzaovirus	Buttiauxella	Butyricimonas	Caballeronia	Caenibius	Campylobacter	Candidatus Accumulibacter	Candidatus Fukatsuia	Candidatus Methylocalor	Carjivirus	Carnobacterium	Caulobacter	Cellvibrio	Cereibacter	Cetobacterium	Chelativorans	Chelatococcus	Chimaeribacter	Chitinibacter	Chromobacterium	Chryseobacterium	Ciceribacter	Cimandefvirus	Cinvestavvirus	Citrobacter	Clostridioides	Clostridium	Comamonas	Corynebacterium	Croceicoccus	Cronobacter	Cronusvirus	Cupriavidus	Curvibacter	Cutibacterium	Dechloromonas	Deinococcus	Delftia	Denitratisoma	Derbicusvirus	Diaphorobacter	Duffyella	Dunedinvirus	Dyella	Ectopseudomonas	Edwardsiella	Eganvirus	Eleftheria	Elizabethkingia	Embleya	Empedobacter	Endozoicomonas	Ensifer	Enterobacter	Enterococcus	Eponavirus	Erwinia	Escherichia	Ewingella	Exiguobacterium	Falsirhodobacter	Faucicola	Ferozepurvirus	Finegoldia	Flammeovirga	Flavobacterium	Flavonifractor	Fremauxvirus	Frigidibacter	Fulvitalea	Fuscovulum	Fusobacterium	Gamaleyavirus	Gemmatirosa	Gemmobacter	Geobacillus	Glaesserella	Granulicella	Gustavvirus	Haematobacter	Haematospirillum	Haladaptatus	Halarchaeum	Haloarcula	Halobaculum	Halocatena	Halogeometricum	Haloglomus	Halomarina	Halomicrobium	Halomicrococcus	Halomonas	Halomontanus	Haloplanus	Halorarum	Halorhabdus	Halorubrum	Halosimplex	Halovivax	Hartmannibacter	Homo	Hpunavirus	Huelvavirus	Hydrogenophaga	Hymenobacter	Ideonella	Ilyobacter	Immutovirus	Indioceanicola	Ittyvirus	Jannaschia	Jiella	Johnsonvirus	Junduvirus	Kahnovirus	Kilunavirus	Kingevirus	Klebsiella	Kluyvera	Kocuria	Komagataeibacter	Kosakonia	Kozakia	Krampusvirus	Kunmingvirus	Lachnospira	Lactiplantibacillus	Lactobacillus	Lactococcus	Lagaffevirus	Lastavirus	Latilactobacillus	Leclercia	Legionella	Leisingera	Lelliottia	Leptolyngbya	Leptospira	Leuconostoc	Levilactobacillus	Ligilactobacillus	Limimaricola	Limosilactobacillus	Listeria	Lughvirus	Lysinibacillus	Machinavirus	Mahlunavirus	Mameliella	Marinibacterium	Marinobacter	Marinovum	Marivivens	Martelella	Massilia	Mediterraneibacter	Mesomycoplasma	Mesorhizobium	Metabacillus	Metallibacterium	Metamycoplasma	Methanobacterium	Methanobrevibacter	Methanocella	Methanoculleus	Methanofollis	Methanolacinia	Methanolobus	Methanomethylovorans	Methanopyrus	Methanosarcina	Methanosphaera	Methanosphaerula	Methanothrix	Methylibium	Methylobacterium	Methylococcus	Methylocystis	Methylomagnum	Methylomicrobium	Methylomonas	Methylorubrum	Methylosinus	Methylotuvimicrobium	Microbacterium	Micrococcus	Microvirga	Miecznikowavirus	Mimivirus	Mitsuokella	Moellerella	Moineauvirus	Monoglobus	Mooglevirus	Moraxella	Morganella	Moturavirus	Muribaculum	Mushuvirus	Mycetohabitans	Mycobacterium	Mycobacteroides	Mydovirus	Natranaerobius	Natronomonas	Neisseria	Neorhizobium	Neotabrizicola	Neptuniibacter	Nitratidesulfovibrio	Nitratireductor	Nitrobacter	Nitrosomonas	Niveibacterium	Niveispirillum	Nocardia	Nocardioides	Nodosilinea	Nonomuraea	Novemvirus	Novosphingobium	Ochrobactrum	Oengusvirus	Ornithinibacillus	Ornithinimicrobium	Ornithobacterium	Ottowia	Paenarthrobacter	Paenibacillus	Pakpunavirus	Pandoraea	Pantoea	Parabacteroides	Paraburkholderia	Paracoccus	Paragemmobacter	Parageobacillus	Pararhizobium	Paroceanicella	Pasteurella	Pectobacterium	Pedobacter	Pelagovum	Pelobacter	Peptoclostridium	Peribacillus	Persicobacter	Peteryoungia	Pettyvirus	Phaeobacter	Phenylobacterium	Phocaeicola	Photobacterium	Phyllobacterium	Phytobacter	Pigmentiphaga	Piscesmortuivirus	Piscinibacter	Planococcus	Plesiomonas	Polaromonas	Polybotosvirus	Popoffvirus	Porphyromonas	Prevotella	Priestia	Proteus	Providencia	Przondovirus	Pseudidiomarina	Pseudoalteromonas	Pseudolactococcus	Pseudomonas	Pseudooceanicola	Pseudophaeobacter	Pseudorhodobacter	Pseudosulfitobacter	Pseudoxanthomonas	Psychrobacter	Pusillibacter	Qipengyuania	Radiobacillus	Rahnella	Ralstonia	Raoultella	Rathayibacter	Reipivirus	Rhizobium	Rhizorhabdus	Rhodanobacter	Rhodobacter	Rhodococcoides	Rhodococcus	Rhodoferax	Rhodopseudomonas	Rhodovastum	Rhodovulum	Riemerella	Robbsia	Roseateles	Roseburia	Roseibium	Roseicitreum	Roseinatronobacter	Roseobacter	Roseomonas	Roseovarius	Rubrivivax	Ruegeria	Rufibacter	Sagittula	Salarchaeum	Salinivibrio	Salipiger	Salmonella	Salvovirus	Sebaldella	Segatella	Senquatrovirus	Septimatrevirus	Serratia	Sharonstreetvirus	Shenzhenvirus	Shewanella	Shigella	Shinella	Simplexvirus	Simplicispira	Sinorhizobium	Skermanella	Sorangium	Sphaerotilus	Sphingobium	Sphingomonas	Sphingopyxis	Spongiactinospora	Staphylococcus	Stenotrophomonas	Sterolibacterium	Streptococcus	Streptomyces	Stutzerimonas	Sukhumvitvirus	Sulfitobacter	Sulfuricystis	Sulfuriferula	Sulfurospirillum	Sulfurovum	Tabrizicola	Taranisvirus	Tardibacter	Teetrevirus	Tequatrovirus	Terrirhizobium	Thalassospira	Thauera	Thermococcus	Thermus	Thioclava	Thiodictyon	Thiomonas	Thiothrix	Tistrella	Toutatisvirus	Treponema	Triduovirus	Tritonibacter	Tsukamurella	Uetakevirus	Vagococcus	Variovorax	Vequintavirus	Verminephrobacter	Vescimonas	Vibrio	Vimunumvirus	Vitreoscilla	Wadgaonvirus	Webervirus	Weissella	Xanthomonas	Xenorhabdus	Xooduovirus	Xylella	Yersinia	Yuavirus	Zicotriavirus	Zymomonas
cleaned_SRR35556007_1	0	0	0	0	0	90	599	0	0	0	3623	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	1	26	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	3	0	1	0	5	0	0	6	0	0	1	0	647	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	4	0	0	0	2	1	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	166	0	0	0	0	0	0	0	0	0	0	7	0	0	0	13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	23	0	4	4	0	1	0	0	0	0	0	3	1	0	0	0	3	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	48	1	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
cleaned_SRR35556007_2	0	0	0	0	0	73	573	0	0	0	3456	0	0	0	0	0	0	13	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	19	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	5	0	1	0	6	0	0	5	0	0	0	0	579	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	8	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	21	0	3	2	0	0	0	0	1	0	0	2	1	0	0	0	4	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	44	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	0
cleaned_SRR35556008_1	0	1	0	0	0	3	3017	0	0	0	2400	0	0	1	5	0	0	32	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	43	0	0	7	1	0	0	0	1	0	68	0	0	2	0	4	0	0	0	0	0	0	4	0	0	0	2	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	122	0	0	0	2	0	3	52	0	0	0	0	405	0	0	0	9	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	8	0	0	37	0	0	0	5	0	0	0	30	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	44	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	60	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	5	0	13	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	3	120	0	0	0	0	0	1	0	0	0	1	21	0	0	0	26	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	34	0	3	9	0	0	4	0	11	0	0	5	0	0	0	1	3	184	0	4	0	0	170	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1480	2	0	0	0	0	0	0	0	28	0	0	0	2	0	0	0	2	1	17	0	0	0	0	0	0	0
cleaned_SRR35556008_2	0	1	0	0	0	4	2946	0	0	0	2308	0	0	1	4	0	0	30	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	42	0	0	11	0	0	0	0	1	0	60	0	0	2	0	6	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	114	0	0	0	2	0	1	57	0	0	0	0	356	0	0	0	8	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	11	0	0	31	0	0	0	2	0	0	0	31	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	38	0	0	1	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	4	0	10	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	5	2	110	0	0	0	0	0	1	0	0	0	2	16	0	0	0	28	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	29	0	3	7	0	0	3	0	9	0	0	5	0	0	0	1	3	154	0	3	0	0	151	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1391	2	0	0	0	0	0	0	0	29	0	0	0	2	0	0	0	2	1	17	0	0	0	0	0	0	0
cleaned_SRR35556009_1	0	0	0	0	0	10	432	0	0	0	4074	0	0	0	0	0	0	27	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	77	0	2	0	1	0	2	4	0	0	0	0	248	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	7	0	0	0	13	0	0	0	10	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	47	0	0	0	1226	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	28	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	5	0	248	0	0	0	0	0	0	0	0	0	3	22	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	23	0	4	3	0	18	0	0	1	0	0	1	1	0	0	1	1	1	0	5	0	0	109	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	32	0	0	0	2	0	0	0	0	0	25	0	0	0	0	0	0	0
cleaned_SRR35556009_2	0	0	0	0	0	7	410	0	0	0	3951	1	0	0	0	0	0	24	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	58	2	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	73	0	2	0	1	1	1	6	0	0	0	0	233	0	2	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	5	0	0	0	10	0	0	0	13	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	36	0	0	0	1167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	5	0	245	0	0	0	0	0	0	0	0	0	4	18	0	0	0	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	22	0	4	2	0	14	0	0	0	0	0	0	1	0	0	0	2	1	0	5	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	27	0	0	0	2	0	0	0	0	0	21	0	0	0	0	0	0	0
cleaned_SRR35939735_1	0	0	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cleaned_SRR35939735_2	0	0	0	0	0	0	23	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cleaned_SRR35939736_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cleaned_SRR35939736_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
